;Nome;Referencia;Saldo0;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11;Data12;Excedente13
0;Valor não encontrado;61190000A ;;;;;;;;;;;;;;;
1;RV NORDICO SNOW AC 32X59 R;61190016A ;"Armazem
1106,27";;;;;;;;;;;;;;
2;INS CYGNUS 32X59 R;61190174A ;"Armazem
3703,01";;;;;;;;;;;;;;
3;INS REALE PATCH 32X59 R;61190176A ;"Armazem
148,03";;;;;;;;;;;;;;
4;INS FLER BRANCO AC 32X59 R;61190200A ;"Armazem
9220,80";;;;;;;;;;;;;;
5;INS FLER BEGE AC 32X59 R;61190202A ;"Armazem
10446,85";;;;;;;;;;;;;;
6;Valor não encontrado;61190204A ;;;;;;;;;;;;;;;
7;RV PRESTIGE CREMA AC 32X59 R;61190234A ;"Armazem
1801,22";;;;;;;;;;;;;;
8;INS MIXDECOR MULTICOR AC 32X59 R;61190238A ;"Armazem
3444,24";;;;;;;;;;;;;;
9;INS MIXDECOR SOFT AC 32X59R;61190240A ;"Armazem
667,83";;;;;;;;;;;;;;
10;RV ONICE AC 30X90,2 R;61190246A ;"Armazem
470,88";;;;;;;;;;;;;;
11;INS LUDO WHITE AC 32X59 R;61190248A ;"Armazem
9272,76";;;;;;;;;;;;;;
12;INS LUDO WHITE BR 32X59 R;61190250A ;"Armazem
6376,40";;;;;;;;;;;;;;
13;INS LUDO BLACK AC 32X59 R;61190252A ;"Armazem
9047,80";;;;;;;;;;;;;;
14;RV NORDICO SNOW 30X90,2 R;61220004A ;"Armazem
365,04"; 03/05/2022 ; 850,23 M2; 08/05/2022 ; 89,91 M2;;;;;;;;;;
15;RV NORDICO SNOW AC 30X90,2 R;61220006A ;"Armazem
49,68"; 10/05/2022 ; 9778,05 M2; 03/05/2022 ; 15964,29 M2; 30/04/2022 ; 39,42 M2; 16/05/2022 ; 4989,87 M2; 10/05/2022 ; 1348,11 M2; 07/05/2022 ; 19,44 M2;;
16;RV CALACATA AC 30X90,2 R;61220096A ;"Armazem
4230,36";;;;;;;;;;;;;;
17;INS CALACATA AC 30X90,2 R;61220098A ;"Armazem
4527,36";;;;;;;;;;;;;;
18;INS FLOREST GLASS AC 30X90,2 R;61220102A ;"Armazem
503,28";;;;;;;;;;;;;;
19;INS ALAMO GLASS NAT AC 30X90,2R;61220104A ;"Armazem
616,68";;;;;;;;;;;;;;
20;Valor não encontrado;61220106A ;;;;;;;;;;;;;;;
21;INS ALFAMA MULTICOR AC 30X90,2 R;61220108A ;"Armazem
2714,04";;;;;;;;;;;;;;
22;INS ALAMO MARROM AC 30X90,2 R;61220112A ;"Armazem
399,60";;;;;;;;;;;;;;
23;INS SHAPE MULTICOR AC 30X90,2 R;61220114A ;"Armazem
3835,08";;;;;;;;;;;;;;
24;INS RISCA BRANCO AC 30X90,2 R;61220118A ;"Armazem
956,88"; 03/05/2022 ; 42,39 M2;;;;;;;;;;;;
25;INS LUX WHITE BR 30X90,2 R;61220120A ;"Armazem
2088,18";;;;;;;;;;;;;;
26;INS LUX SALVIA BR 30X90,2 R;61220122A ;"Armazem
4,05"; 24/05/2022 ; 1895,67 M2;;;;;;;;;;;;
27;INS LUX FENDI BR 30X90,2 R;61220124A ;; 24/05/2022 ; 1699,65 M2;;;;;;;;;;;;
28;INS LUX WHITE AC 30X90,2 R;61220126A ;"Armazem
2800,98"; 24/05/2022 ; 175,23 M2;;;;;;;;;;;;
29;INS ONICE AC 30X90,2 R;61220128A ;"Armazem
581,04";;;;;;;;;;;;;;
30;INS CALACATA MOSAIC AC 30X90,2 R;61220130A ;"Armazem
1225,80";;;;;;;;;;;;;;
31;INS BLOSSOM BLUE AC 30X90,2 R;61220132A ;"Armazem
924,48";;;;;;;;;;;;;;
32;RV GLACIAL SNOW 33X60;61300004A ;"Armazem
7549,34"; 11/05/2022 ; 232,27 M2; 02/05/2022 ; 155,77 M2; 24/04/2022 ; 178,56 M2;;;;;;;;
33;RV GLACIAL SNOW AC 33X60;61300006A ;"Armazem
22844,22"; 24/05/2022 ; 47,37 M2;;;;;;;;;;;;
34;RV GLACIAL OFF WHITE 33X60;61300008A ;"Armazem
7050,12"; 18/05/2022 ; 3032,58 M2;;;;;;;;;;;;
