;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
0;MOSAICO OXI RUSTY 30,3X30,3;"Armazem
2123";71000000A ;;;;;;;;;;;;
1;Não encontrado;;74690000A ;;;;;;;;;;;;
2;INS TULE NUDE MT 30X90,2 R;"Armazem
2248";BO01AW361 ;;;;;;;;;;;;
3;LM CALACATA GOLD MT 60X120 R;"Armazem
1077,78";F070154GO1 ; 31/08/2022 ; 1797,01 M2; 30/06/2022 ; 1497,39 M2;;;;;;;;
4;LM CALACATA GOLD MC 60X120 R;;F070254GO1 ; 31/08/2022 ; 2995,49 M2; 30/06/2022 ; 1497,39 M2; 15/05/2022 ; 2,84 M2;;;;;;
5;LM LOUNGE OAK MT 20X120 R;;F1201C5741 ; 12/05/2022 ; 8,74 M2;;;;;;;;;;
6;LM LOUNGE NATURAL MT 20X120 R;;F1201C5NT1 ; 30/04/2022 ; 274,16 M2;;;;;;;;;;
7;Não encontrado;;F14013N091 ;;;;;;;;;;;;
8;Não encontrado;;F14013N151 ;;;;;;;;;;;;
9;Não encontrado;;F14013N211 ;;;;;;;;;;;;
10;Não encontrado;;F1401JE011 ;;;;;;;;;;;;
11;Não encontrado;;F1401JEDE1 ;;;;;;;;;;;;
12;Não encontrado;;F3401FY011 ;;;;;;;;;;;;
13;RV PURE LOW WHITE MT 21,5X21,5;"Armazem
667,23";F3402FY011 ;;;;;;;;;;;;
14;LM HANGAR CEMENT ABS 120X120 R;"Armazem
8,55";F3601E8021 ; 31/10/2022 ; 997,50 M2;;;;;;;;;;
15;LM HANGAR CEMENT MT 120X120 R;"Armazem
758,10";F3602E8021 ;;;;;;;;;;;;
16;LM SAHARA NOIR MC 120X120 R;;F3901E8161 ; 31/08/2022 ; 1496,25 M2; 31/07/2022 ; 1346,62 M2; 30/05/2022 ; 2443,88 M2;;;;;;
17;LM SAHARA NOIR MT 120X120 R;"Armazem
1405,05";F3902E8161 ; 30/11/2022 ; 3491,25 M2;;;;;;;;;;
18;PS SEA TURMALINA 20X20;"Armazem
473,18";F4001MB151 ;;;;;;;;;;;;
19;PS SEA AQUAMARINE 20X20;"Armazem
1473,82";F4001MB211 ;;;;;;;;;;;;
20;PS SEA FLOC TURMALINA 20X20;"Armazem
1446,68";F4002MB151 ;;;;;;;;;;;;
21;PS SEA JADE 20X20;"Armazem
217,12";F4002MB211 ;;;;;;;;;;;;
22;PS SEA FLOC AQUAMARINE 20X20;"Armazem
956,98";F4003MB211 ;;;;;;;;;;;;
23;PS SEA FLOC JADE 20X20;"Armazem
706,82";F4004MB211 ;;;;;;;;;;;;
24;LM VENATO BLACK MT 60X120 R;"Armazem
31,95";F460154161 ; 31/08/2022 ; 1696,90 M2; 30/06/2022 ; 1497,39 M2;;;;;;;;
25;LM VENATO BLACK MC 60X120 R;;F460254161 ; 31/08/2022 ; 2496,36 M2; 30/06/2022 ; 1497,39 M2; 17/05/2022 ; 174,66 M2;;;;;;
26;RV QUASAR WHITE MT 15X17,5;"Armazem
8,80";F5601GM011 ;;;;;;;;;;;;
27;RV QUASAR BLACK MT 15X17,5;"Armazem
323,20";F5601GM161 ;;;;;;;;;;;;
28;RV QUASAR GRAY MT 15X17,5;"Armazem
135,60";F5602GM021 ;;;;;;;;;;;;
29;INS PLIER WHITE MT 30X90,2 R;"Armazem
0,81";F5O07AW011 ; 24/05/2022 ; 1015,74 M2;;;;;;;;;;
30;LM HOME WHITE MT 20X120 R;;F6201C5011 ; 20/05/2022 ; 28,52 M2;;;;;;;;;;
31;LM HOME GRAY MT 20X120 R;;F6201C5021 ; 20/05/2022 ; 929,66 M2;;;;;;;;;;
32;LM HOME DENIM MT 20X120 R;"Armazem
761,76";F6201C5151 ;;;;;;;;;;;;
33;LM HOME BLACK MT 20X120 R;"Armazem
45,54";F6201C5161 ;;;;;;;;;;;;
34;RV BAUHAUS WHITE MT 21,5X21,5;"Armazem
298,53";F7001FY011 ;;;;;;;;;;;;
35;RV BAUHAUS BLUE MT 21,5X21,5;"Armazem
45,57";F7001FY151 ;;;;;;;;;;;;
36;RV BAUHAUS GRAPHITE MT 215X21,5;"Armazem
609,15";F7001FY161 ;;;;;;;;;;;;
37;Não encontrado;;F76011P011 ;;;;;;;;;;;;
38;Não encontrado;;F76011P021 ;;;;;;;;;;;;
39;Não encontrado;;F76011P161 ;;;;;;;;;;;;
40;PS UNO WHITE MT 20X20;"Armazem
2144,06";F770120011 ;;;;;;;;;;;;
41;PS UNO GRAY MT 20X20;"Armazem
188,80";F770120021 ;;;;;;;;;;;;
42;PS UNO BLACK MT 20X20;"Armazem
1571,76";F770120161 ;;;;;;;;;;;;
43;PS UNO EDGE MT 20X20;"Armazem
263,14";F770120991 ;;;;;;;;;;;;
44;Não encontrado;;F7701MB011 ;;;;;;;;;;;;
45;Não encontrado;;F7701MB161 ;;;;;;;;;;;;
46;Não encontrado;;F7701MB991 ;;;;;;;;;;;;
47;PS UNO FOLD MT 20X20;"Armazem
323,32";F770220991 ;;;;;;;;;;;;
48;Não encontrado;;F7702MB021 ;;;;;;;;;;;;
49;Não encontrado;;F7702MB991 ;;;;;;;;;;;;
50;PS UNO LINE MT 20X20;"Armazem
236,00";F770320991 ;;;;;;;;;;;;
51;Não encontrado;;F7703MB991 ;;;;;;;;;;;;
52;PS UNO STRIP MT 20X20;"Armazem
243,08";F770420991 ;;;;;;;;;;;;
53;PS UNO GATE MT 20X20;"Armazem
148,68";F770520991 ;;;;;;;;;;;;
54;PS UNO FRAME MT 20X20;"Armazem
159,30";F770620991 ;;;;;;;;;;;;
55;LM FULL CONCRET MC 100X200 R;"Armazem
332";F8801ZF021 ;;;;;;;;;;;;
56;Não encontrado;;F8802ZF021 ;;;;;;;;;;;;
57;LM COTTO MOSS MC 120X120 R;;FA101E8451 ; 31/07/2022 ; 997,50 M2;;;;;;;;;;
